I1,I2,I1MAX,I1MIN,I1VAR,I2MAX,I2MIN,I2VAR,I3,I4,I3max,I3min,I3var,I4MAX,I4MIN,I5,I6,Itotal1,Itotalmax1,Itotalmin1,Vdcmean1,Vdcmax1,Vdcmin1,Pdcmean1,IR,T,range 1,range 2,range 3,range 4
0.9519533384004131,0.9499072415929861,0.0682590438024058,0.9545800239141983,3.701814334317123e-05,0.06631875858435733,0.9537035083332612,3.705195139717515e-05,0.06416353415154759,0.0660765150786203,0.06655343528339036,0.06362046384658264,0.05281922199523087,0.06793002072896329,0.06477190566109689,0.0660765150786203,0.0660765150786203,0.0011000193402814773,0.009431574976422219,0.010191393999913867,0.6212781311797109,0.6799442345786275,0.47731106515132815,0.06896917595302286,0.06487695749440715,0.03999999999999998,0.003385869632432005,0.003385869632432005,0.9999999999999991,7.680659711652876e-16
0.9897199166590761,0.9875926456258911,0.8221528567785201,0.9902254401529346,0.00030059306041428397,0.7987828980723678,0.9893161941963984,0.0003006268595570029,0.7956339701423132,0.819355116895522,0.8055560195179765,0.8035015729364615,0.7322711759440712,0.8222180699041096,0.8180438326618551,0.819355116895522,0.819355116895522,0.13910839583109524,0.01074728858849383,0.32805992674658624,0.9484913878740677,0.9399767715030407,0.9305748627643577,0.8214986820450695,0.8176733780760626,0.07999999999999996,0.00247779622630254,0.00247779622630254,0.9999999999999993,2.457807787032681e-15
0.9565588160193396,0.9545028203516718,0.1433820779496115,0.9589658404300005,1.2489903637524305e-06,0.13930639638594894,0.9580852976995161,1.2827996270865721e-06,0.14028574567026364,0.14446824526845503,0.14018929387448864,0.1424998629312999,0.00045501478182454646,0.14308895699106597,0.14507891204256257,0.14446824526845503,0.14446824526845503,0.010732845170301708,0.016449199937126124,0.009926555880888088,0.3548579029946044,0.31025169070373515,0.4121635691376291,0.13659955185161043,0.14429530201342278,0.7200000000000001,0.0024586488577793305,0.0024586488577793305,0.9999999999999992,1.5975758917453025e-15
0.9967429466585102,0.9946005805584972,0.9577210657878779,0.9967226524421738,4.802032992691841e-06,0.930497537249432,0.9958074406078049,4.835842135900077e-06,0.943827192456367,0.9719665934650016,0.9410564104839036,0.9575194519690146,0.009460400355942322,0.9605211391281746,0.9748492208601465,0.9719665934650016,0.9719665934650016,0.8698423369506827,0.8177833511474368,0.8946173734737135,0.7195315909581002,0.6632076629018258,0.8877370491256276,0.9456599528511267,0.9731543624161074,0.52,0.002226892145910554,0.002226892145910554,0.9999999999999997,8.602318952873785e-15
0.9702440569595592,0.9681586466907055,0.4439702889215137,0.9715679799285487,2.84102508326447e-06,0.43135029103023437,0.9706758656468618,2.8748342927730233e-06,0.43704566196681544,0.45007580481442877,0.4354741286757254,0.4436100718642645,0.0012842472671192367,0.4444814375382351,0.4516387965104088,0.45007580481442877,0.45007580481442877,0.009913172880627208,0.013354508016346855,0.007543628428534177,0.47451863121037974,0.42546419982623895,0.5960524952967194,0.4268958765548948,0.44966442953020136,0.7999999999999999,0.0037123174047606336,0.0037123174047606336,0.9999999999999993,2.33491712095636e-15
0.9442149907573134,0.9421855264966392,0.07638771044586093,0.9453874664029975,3.308640421150809e-05,0.07421636527074076,0.944519391622921,3.312021239844138e-05,0.07530888102708465,0.07755415094478797,0.07494213650175596,0.07639238222113941,0.00013398357092611032,0.07649223311103201,0.07777497797542202,0.07755415094478797,0.07755415094478797,0.009367913398516947,0.011223571204023841,0.0067525372976993125,0.18151379900614018,0.14490568201563825,0.22918259160635657,0.06909083695901953,0.07718120805369126,0.84,0.012985889360846433,0.012985889360846433,0.9999999999999992,9.831225613636991e-16
0.968877423596902,0.9667949507242918,0.39310227025040523,0.9707042069939806,0.0001418449205894318,0.3819282121086581,0.9698128858468833,0.00014187872509931518,0.37854347599598215,0.38982942617350447,0.3849089620013797,0.38018266076178703,0.3615539691461702,0.3928703853705189,0.3870634375792909,0.38982942617350447,0.38982942617350447,0.004060395401310757,0.013365977679973717,0.011535907241815302,0.7897845763422353,0.8300522884448291,0.6676504197661259,0.3877725637624858,0.3870246085011185,0.16000000000000003,0.0022269350275272797,0.0022269350275272797,0.9999999999999992,2.7035891191853224e-15
0.9506578908073914,0.9486145783918851,0.05343251066139701,0.9530538023418341,3.4380730596817365e-06,0.05191367440433432,0.9521786881698462,3.471882249004512e-06,0.05227852312854463,0.053837162610656505,0.052103795626207206,0.05300123062582833,0.000318513367057478,0.05318150598650234,0.05396047910459545,0.053837162610656505,0.053837162610656505,0.009913156763725617,0.013354484438855785,0.00754361719168406,0.17868454612364282,0.14358740225890543,0.22158894489754744,0.04903183622017214,0.05369127516778523,0.7999999999999999,0.00423176174283335,0.00423176174283335,0.9999999999999992,9.216786119489719e-16
0.969592934499796,0.9675089237318761,0.41262840249851185,0.9713979643790495,1.7045698752752806e-05,0.40089930778349636,0.9705060062092384,1.7079507482011204e-05,0.40126613846897147,0.41322954540597456,0.4041115290366229,0.4066281076125504,0.04038588874623374,0.4124701366260175,0.41398751019708596,0.41322954540597456,0.41322954540597456,0.010050327710325213,0.019008085507701722,0.01233613072158235,0.636575272048832,0.5970614509122498,0.6549688340103348,0.40173363641123394,0.412751677852349,0.52,0.0024336765329737056,0.0024336765329737056,0.9999999999999993,2.5806984531090016e-15
0.9622760842521199,0.9602078000784859,0.28654440295918865,0.9641239324915059,5.375823177741829e-06,0.2783992863796822,0.9632386534917233,5.409632301550617e-06,0.2795374765343512,0.28787164746310995,0.2805196886370316,0.28365310750324507,0.006477853135352185,0.2863219333886373,0.2887868338084123,0.28787164746310995,0.28787164746310995,0.01080861609541195,0.01762242533794378,0.010758095660380551,0.5086344861382166,0.4647082953953081,0.5404661041405312,0.27596746095370633,0.2874720357941834,0.64,0.003902617533178158,0.003902617533178158,0.9999999999999993,2.2120292221269054e-15
